zip,city,state_id,county,latitude,longitude
00544,Holtsville,33,Suffolk County,40.81,-73.04
00601,Adjuntas,52,Adjuntas,18.16,-66.72
00602,Aguada,52,,18.38,-67.18
00603,Aguadilla,52,Aguadilla,18.43,-67.15
00604,Aguadilla,52,,18.43,-67.15
00605,Aguadilla,52,,18.43,-67.15
00606,Maricao,52,Maricao,18.18,-66.98
00610,Anasco,52,,18.28,-67.14
00611,Angeles,52,,18.28,-66.79
00612,Arecibo,52,Arecibo,18.45,-66.73
00613,Arecibo,52,,18.45,-66.73
00614,Arecibo,52,,18.45,-66.73
00616,Bajadero,52,Arecibo,18.4,-66.66
00617,Barceloneta,52,Barceloneta,18.45,-66.53
00622,Boqueron,52,,17.99,-67.15
00623,Cabo Rojo,52,,18.08,-67.14
00624,Penuelas,52,,18.06,-66.72
00627,Camuy,52,,18.48,-66.84
00631,Castaner,52,,18.19,-66.82
00636,Rosario,52,,18.15,-67.06
00637,Sabana Grande,52,,18.08,-66.96
00638,Ciales,52,,18.33,-66.47
00641,Utuado,52,,18.27,-66.7
00646,Dorado,52,,18.47,-66.27
00647,Ensenada,52,,17.96,-66.94
00650,Florida,52,,18.36,-66.56
00652,Garrochales,52,Arecibo,18.45,-66.6
00653,Guanica,52,,17.97,-66.93
00656,Guayanilla,52,,18.02,-66.79
00659,Hatillo,52,,18.48,-66.82
00660,Hormigueros,52,,18.14,-67.12
00662,Isabela,52,,18.5,-67.02
00664,Jayuya,52,,18.22,-66.59
00667,Lajas,52,,18.04,-67.06
00669,Lares,52,,18.29,-66.88
00670,Las Marias,52,,18.27,-67.06
00674,Manati,52,,18.43,-66.48
00676,Moca,52,,18.39,-67.11
00677,Rincon,52,,18.34,-67.25
00678,Quebradillas,52,,18.47,-66.93
00680,Mayaguez,52,,18.2,-67.14
00681,Mayaguez,52,,18.2,-67.14
00682,Mayaguez,52,,18.2,-67.14
00683,San German,52,,18.08,-67.04
00685,San Sebastian,52,,18.33,-66.99
00687,Morovis,52,,18.32,-66.4
00688,Sabana Hoyos,52,,18.38,-66.62
00690,San Antonio,52,,18.49,-67.09
00692,Vega Alta,52,,18.41,-66.32
00693,Vega Baja,52,,18.44,-66.39
00694,Vega Baja,52,,18.44,-66.39
00698,Yauco,52,,18.03,-66.86
00703,Aguas Buenas,52,,18.25,-66.1
00704,Aguirre,52,,17.96,-66.22
00705,Aibonito,52,,18.14,-66.26
00707,Maunabo,52,,18,-65.9
00714,Arroyo,52,,17.97,-66.06
00715,Mercedita,52,,18,-66.56
00716,Ponce,52,,17.98,-66.6
00717,Ponce,52,,17.98,-66.6
00718,Naguabo,52,,18.21,-65.73
00719,Naranjito,52,,18.3,-66.24
00720,Orocovis,52,,18.22,-66.39
00721,Palmer,52,,18.37,-65.77
00723,Patillas,52,Patillas,18,-66.01
00725,Caguas,52,,18.23,-66.03
00726,Caguas,52,,18.23,-66.03
00727,Caguas,52,,18.23,-66.03
00728,Ponce,52,,17.98,-66.6
00729,Canovanas,52,Canóvanas,18.37,-65.9
00730,Ponce,52,,17.98,-66.6
00731,Ponce,52,,17.98,-66.6
00732,Ponce,52,,17.98,-66.6
00733,Ponce,52,,17.98,-66.6
00734,Ponce,52,,17.98,-66.6
00735,Ceiba,52,,18.26,-65.64
00736,Cayey,52,,18.11,-66.16
00737,Cayey,52,,18.11,-66.16
00738,Fajardo,52,,18.33,-65.65
00739,Cidra,52,,18.17,-66.15
00740,Puerto Real,52,,18.33,-65.63
00741,Punta Santiago,52,,18.15,-65.76
00742,Roosevelt Roads,52,,18.27,-65.65
00744,Rio Blanco,52,,18.22,-65.79
00745,Rio Grande,52,,18.38,-65.83
00751,Salinas,52,,17.97,-66.29
00754,San Lorenzo,52,,18.19,-65.96
00757,Santa Isabel,52,Santa Isabel,17.97,-66.4
00765,Vieques,52,,18.42,-65.83
00766,Villalba,52,,18.13,-66.48
00767,Yabucoa,52,,18.04,-65.87
00769,Coamo,52,,18.08,-66.36
00771,Las Piedras,52,,18.18,-65.86
00772,Loiza,52,,18.43,-65.88
00773,Luquillo,52,,18.37,-65.71
00775,Culebra,52,,18.31,-65.3
00777,Juncos,52,,18.22,-65.91
00778,Gurabo,52,,18.25,-65.97
00780,Coto Laurel,52,,18.09,-66.57
00782,Comerio,52,,18.22,-66.22
00783,Corozal,52,,18.34,-66.31
00784,Guayama,52,,17.97,-66.11
00785,Guayama,52,,17.97,-66.11
00786,La Plata,52,Aibonito,18.16,-66.23
00791,Humacao,52,,18.15,-65.81
00792,Humacao,52,,18.15,-65.81
00794,Barranquitas,52,,18.18,-66.3
00795,Juana Diaz,52,,18.05,-66.5
00801,St Thomas,VI,,18.35,-64.93
00802,St Thomas,VI,,18.35,-64.93
00803,St Thomas,VI,,18.35,-64.93
00804,St Thomas,VI,,18.35,-64.93
00805,St Thomas,VI,,18.34,-64.93
00820,Christiansted,VI,,17.74,-64.7
00821,Christiansted,VI,,17.74,-64.7
00822,Christiansted,VI,,17.74,-64.7
00823,Christiansted,VI,,17.74,-64.7
00824,Christiansted,VI,,17.74,-64.7
00830,St John,VI,,18.33,-64.79
00831,St John,VI,,18.33,-64.79
00840,Frederiksted,VI,,17.71,-64.88
00841,Frederiksted,VI,,17.71,-64.88
00850,Kingshill,VI,,17.76,-64.82
00851,Kingshill,VI,,17.73,-64.8
00901,San Juan,52,,18.4,-66.06
00902,San Juan,52,,18.4,-66.06
00906,San Juan,52,,18.4,-66.06
00907,San Juan,52,,18.4,-66.06
00908,San Juan,52,,18.4,-66.06
00909,San Juan,52,,18.44,-66.06
00910,San Juan,52,,18.4,-66.06
00911,San Juan,52,,18.4,-66.06
00912,San Juan,52,,18.4,-66.06
00913,San Juan,52,,18.4,-66.06
00914,San Juan,52,,18.4,-66.06
00915,San Juan,52,,18.4,-66.06
00916,San Juan,52,,18.4,-66.06
00917,San Juan,52,,18.4,-66.06
00918,San Juan,52,,18.4,-66.06
00919,San Juan,52,,18.4,-66.06
00920,San Juan,52,,18.4,-66.06
00921,San Juan,52,,18.4,-66.06
00922,San Juan,52,,18.4,-66.06
00923,San Juan,52,,18.4,-66.06
00924,San Juan,52,,18.4,-66.06
00925,San Juan,52,,18.4,-66.06
00926,San Juan,52,,18.4,-66.06
00927,San Juan,52,,18.4,-66.06
00928,San Juan,52,,18.4,-66.06
00929,San Juan,52,San Juan,18.4,-66.06
00930,San Juan,52,,18.4,-66.06
00931,San Juan,52,San Juan,18.4,-66.06
00933,San Juan,52,San Juan,18.4,-66.06
00934,Fort Buchanan,52,,18.41,-66.11
00935,San Juan,52,San Juan,18.4,-66.06
00936,San Juan,52,,18.4,-66.06
00937,San Juan,52,San Juan,18.4,-66.06
00939,San Juan,52,San Juan,18.4,-66.06
00940,San Juan,52,,18.4,-66.06
00949,Toa Baja,52,,18.44,-66.25
00950,Toa Baja,52,,18.44,-66.25
00951,Toa Baja,52,,18.44,-66.25
00952,Sabana Seca,52,Toa Baja,18.42,-66.19
00953,Toa Alta,52,Toa Alta,18.39,-66.25
00954,Toa Alta,52,Toa Alta,18.39,-66.25
00955,San Juan,52,San Juan,18.4,-66.06
00956,Bayamon,52,Bayamón,18.28,-66.13
00957,Bayamon,52,Bayamón,18.28,-66.13
00958,Bayamon,52,Bayamón,18.28,-66.13
00959,Bayamon,52,Bayamón,18.28,-66.13
00960,Bayamon,52,,18.28,-66.13
00961,Bayamon,52,Bayamón,18.41,-66.15
00962,Catano,52,Cataño,18.43,-66.11
00963,Catano,52,Cataño,18.43,-66.11
00965,Guaynabo,52,Guaynabo,18.38,-66.11
00966,Guaynabo,52,Guaynabo,18.38,-66.11
00968,Guaynabo,52,Guaynabo,18.38,-66.11
00969,Guaynabo,52,Guaynabo,18.38,-66.11
00970,Guaynabo,52,,18.38,-66.11
00971,Guaynabo,52,Guaynabo,18.38,-66.11
00975,San Juan,52,San Juan,18.4,-66.06
00976,Trujillo Alto,52,Trujillo Alto,18.36,-66.01
00977,Trujillo Alto,52,,18.36,-66.01
00978,Saint Just,52,San Juan,18.37,-66.01
00979,Carolina,52,Carolina,18.4,-65.98
00981,Carolina,52,Carolina,18.4,-65.98
00982,Carolina,52,Carolina,18.4,-65.98
00983,Carolina,52,Carolina,18.4,-65.98
00984,Carolina,52,Carolina,18.4,-65.98
00985,Carolina,52,Carolina,18.4,-65.98
00986,Carolina,52,Carolina,18.4,-65.98
00987,Carolina,52,Carolina,18.4,-65.98
00988,Carolina,52,Carolina,18.4,-65.98
01001,Agawam,22,Hampden County,42.06,-72.61
01002,Amherst,22,Hampshire County,42.37,-72.52
01003,Amherst,22,Hampshire County,42.37,-72.52
01004,Amherst,22,Hampshire County,42.37,-72.52
01005,Barre,22,Worcester County,42.42,-72.1
01007,Belchertown,22,Hampshire County,42.27,-72.4
01008,Blandford,22,Hampden County,42.18,-72.93
01009,Bondsville,22,Hampden County,42.2,-72.34
01010,Brimfield,22,Hampden County,42.11,-72.2
01011,Chester,22,Hampden County,42.28,-72.98
01012,Chesterfield,22,Hampshire County,42.4,-72.85
01013,Chicopee,22,Hampden County,42.17,-72.57
01014,Chicopee,22,Hampden County,42.17,-72.57
01020,Chicopee,22,Hampden County,42.17,-72.57
01021,Chicopee,22,Hampden County,42.17,-72.57
01022,Chicopee,22,Hampden County,42.17,-72.57
01026,Cummington,22,Hampshire County,42.46,-72.9
01027,Easthampton,22,Hampshire County,42.26,-72.68
01028,East Longmeadow,22,Hampden County,42.06,-72.51
01029,East Otis,22,Berkshire County,42.17,-73.03
01030,Feeding Hills,22,Hampden County,42.06,-72.67
01031,Gilbertville,22,Worcester County,42.35,-72.21
01032,Goshen,22,Hampshire County,42.43,-72.8
01033,Granby,22,Hampshire County,42.26,-72.52
01034,Granville,22,Hampden County,42.06,-72.86
01035,Hadley,22,Hampshire County,42.35,-72.58
01036,Hampden,22,Hampden County,42.06,-72.41
01037,Hardwick,22,Worcester County,42.35,-72.2
01038,Hatfield,22,Hampshire County,42.37,-72.6
01039,Haydenville,22,Hampshire County,42.39,-72.7
01040,Holyoke,22,Hampden County,42.21,-72.64
01041,Holyoke,22,Hampden County,42.21,-72.64
01050,Huntington,22,Hampshire County,42.23,-72.88
01053,Leeds,22,Hampshire County,42.35,-72.71
01054,Leverett,22,Franklin County,42.45,-72.5
01056,Ludlow,22,Hampden County,42.16,-72.48
01057,Monson,22,Hampden County,42.09,-72.31
01059,North Amherst,22,Hampshire County,42.4,-72.52
01060,Northampton,22,Hampshire County,42.32,-72.67
01061,Northampton,22,Hampshire County,42.32,-72.67
01062,Florence,22,Hampshire County,42.32,-72.67
01063,Northampton,22,Hampshire County,42.32,-72.67
01066,North Hatfield,22,Franklin County,42.4,-72.6
01068,Oakham,22,Worcester County,42.35,-72.05
01069,Palmer,22,Hampden County,42.16,-72.32
01070,Plainfield,22,Hampshire County,42.51,-72.91
01071,Russell,22,Hampden County,42.18,-72.85
01072,Shutesbury,22,Franklin County,42.45,-72.4
01073,Southampton,22,Hampshire County,42.23,-72.73
01074,South Barre,22,Worcester County,42.38,-72.09
01075,South Hadley,22,Hampshire County,42.26,-72.56
01077,Southwick,22,Hampden County,42.05,-72.76
01079,Thorndike,22,Hampden County,42.18,-72.33
01080,Three Rivers,22,Hampden County,42.18,-72.37
01081,Wales,22,Hampden County,42.06,-72.21
01082,Ware,22,Hampshire County,42.25,-72.24
01083,Warren,22,Worcester County,42.21,-72.19
01084,West Chesterfield,22,Hampshire County,42.41,-72.87
01085,Westfield,22,Hampden County,42.13,-72.75
01086,Westfield,22,Hampden County,42.13,-72.75
01088,West Hatfield,22,Hampshire County,42.39,-72.64
01089,West Springfield,22,Hampden County,42.12,-72.65
01090,West Springfield,22,Hampden County,42.12,-72.65
01092,West Warren,22,Worcester County,42.2,-72.2
01093,Whately,22,Franklin County,42.45,-72.61
01094,Wheelwright,22,Worcester County,42.35,-72.14
01095,Wilbraham,22,Hampden County,42.13,-72.43
01096,Williamsburg,22,Hampshire County,42.4,-72.71
01097,Woronoco,22,Hampden County,42.19,-72.82
01098,Worthington,22,Hampshire County,42.41,-72.93
01101,Springfield,22,Hampden County,42.11,-72.53
01102,Springfield,22,Hampden County,42.11,-72.53
